D_ID,CURRENCY,CHARGE_VALUE
388363989,USD,-469
388724449,USD,3891
388724449,CNY,1711
388363989,USD,37
388363989,USD,158
388363989,USD,4500
388363989,USD,164
388363989,USD,506
388724509,USD,-528
388724509,USD,530
388724449,USD,-592
388724449,USD,608
388724449,USD,35
388724449,USD,437
388724449,USD,16
388488521,USD,3881
388548709,USD,443
388548709,USD,-380
388548709,USD,437
388548709,USD,30
388548709,USD,150
388548709,USD,212
388548709,USD,2676
388724509,USD,3988
388724509,USD,39
388724509,CNY,918
388724515,USD,7
388468554,USD,218
388468554,USD,-402
388468554,USD,422
388468554,USD,36
388468554,USD,3957
388724515,CNY,922
388724515,USD,3876
388724509,USD,43
388724509,USD,415
388353567,USD,46
388353567,USD,486
388353567,USD,-420
388353567,USD,126
388353567,USD,4548
388353567,USD,242
388724502,CNY,658
388724502,USD,41
388724502,USD,-373
388724502,USD,4013
388724502,USD,382
388724502,USD,25
388724502,USD,449
388708090,USD,-377
388708090,USD,414
388708090,USD,52
388708090,USD,394
388708090,USD,3076
388708090,USD,121
388708090,USD,50
388708092,USD,298
388708092,USD,3382
388549291,USD,422
388549291,USD,-389
388549291,USD,2699
388549291,USD,164
388549291,USD,441
388358498,USD,34
388358498,USD,169
388358498,USD,-493
388358498,USD,527
388358498,USD,293
388358498,USD,5277
388488521,USD,-500
388549291,USD,167
388549291,USD,26
388488521,USD,548
388488521,USD,44
388488521,USD,299
388473389,USD,5529
388473389,USD,192
388473389,USD,-548
388473389,USD,553
388473389,USD,14
388481458,USD,159
388481458,USD,2627
388481458,USD,6
388481458,USD,-368
388481458,USD,376
388481458,USD,53
388481458,USD,156
388488521,USD,251
388488521,USD,34
388552938,USD,4564
388552938,USD,261
388552938,USD,-475
388552938,USD,551
388552938,USD,55
388456800,USD,-418
388456800,USD,449
388456800,USD,52
388456800,USD,172
388456800,USD,4503
388553735,USD,60
388553735,USD,455
388553735,USD,-402
388553735,USD,118
388553735,USD,3195
388464255,USD,22
388464255,USD,589
388464255,USD,-511
388464255,USD,365
388464255,USD,4519
388646261,USD,3498
388646261,USD,168
388646261,USD,-593
388646261,USD,623
388549292,USD,57
388549292,USD,530
388549292,USD,250
385852538,USD,224
386649378,USD,161
386649378,USD,1196
388494274,USD,540
388494274,USD,-464
388494274,USD,2
388494274,USD,252
388494274,USD,4361
388549292,USD,610
388494274,USD,34
388549292,USD,3774
388549292,USD,189
388494274,USD,253
388551825,USD,47
388551825,USD,569
388551825,USD,-517
388551825,USD,209
388551825,USD,4556
388549292,USD,-512
388551776,USD,559
388551776,USD,-524
388551776,USD,258
388551776,USD,4600
388551776,USD,60
388708072,USD,13
388708072,USD,196
388708072,USD,-534
388708072,USD,531
388708072,USD,3395
385852538,USD,1016
388724589,USD,23
388724589,USD,4195
388724589,TWD,7014
388724589,USD,17
388724589,USD,-525
388724589,USD,572
388724589,USD,446
388708072,USD,11
388708072,USD,434
388457070,USD,4573
388457070,USD,175
388457070,USD,-443
388457070,USD,462
388457070,USD,46
388724587,USD,405
388724587,USD,21
388724587,USD,39
388724587,USD,-379
388724587,USD,427
388724587,TWD,5603
