D_ID,CREATED,ORIGIN_PID,DESTINATION_PID,VALID_FROM,VALID_TO,COMPANY_ID,SUPPLIER_ID,EQUIPMENT_ID
388724516,2021-05-18T15:28:33.574Z,806,54,2021-05-01,2021-05-31,1817,114,1
389247313,2021-05-20T08:46:02.894Z,191,54,2021-05-15,2021-05-31,2455,1023,2
389469273,2021-05-21T13:11:25.876Z,806,504,2021-05-07,2021-05-31,4023,38,4
388488521,2021-05-18T11:41:32.499Z,806,308,2021-04-15,2021-04-30,2469,48,2
388724448,2021-05-18T15:28:33.574Z,898,587,2021-05-01,2021-05-31,1817,114,4
389280468,2021-05-20T12:44:14.438Z,266,638,2021-05-15,2021-05-31,4023,43,2
388775674,2021-05-18T17:39:12.691Z,764,308,2021-05-15,2021-05-31,3564,53,1
384586351,2021-05-21T13:07:52.422Z,898,54,2021-05-01,2021-05-31,4023,38,1
388494113,2021-05-18T11:42:39.284Z,781,678,2021-05-15,2021-05-31,2469,48,1
389280509,2021-05-20T12:44:14.438Z,266,54,2021-05-15,2021-05-31,4023,43,1
388724500,2021-05-18T15:28:33.574Z,806,678,2021-05-01,2021-05-31,1817,114,4
389349626,2021-05-20T19:54:55.525Z,266,529,2021-04-01,2022-03-31,3579,249,1
389280868,2021-05-20T12:44:14.439Z,898,638,2021-05-15,2021-05-31,4023,43,4
388646146,2021-05-18T13:14:56.404Z,723,218,2021-04-01,2021-06-30,4215,38,4
388646261,2021-05-18T13:15:26.235Z,266,638,2021-05-01,2022-04-30,4215,38,2
388462955,2021-05-18T10:30:04.002Z,781,681,2021-05-15,2021-05-31,2469,1023,4
389348494,2021-05-20T19:54:55.526Z,638,529,2021-04-01,2022-03-31,3579,1023,4
388548741,2021-05-18T11:49:36.591Z,736,218,2021-05-15,2021-05-31,1817,48,2
388548811,2021-05-18T11:49:36.590Z,898,587,2021-05-15,2021-05-31,1817,48,1
389234875,2021-05-20T08:46:02.894Z,796,587,2021-05-15,2021-05-31,2455,1023,2
388355666,2021-05-18T08:47:45.675Z,796,638,2021-05-15,2021-05-31,2469,52,1
388493300,2021-05-18T11:42:39.284Z,912,308,2021-05-15,2021-05-31,2469,48,1
388646008,2021-05-18T13:14:56.404Z,191,218,2021-04-01,2021-06-30,4215,38,4
388553710,2021-05-18T11:51:58.357Z,191,218,2021-05-15,2021-05-31,2469,48,2
385851505,2021-05-18T17:31:48.397Z,638,781,2021-04-13,2021-04-14,3564,40,2
389348409,2021-05-20T19:54:55.532Z,638,723,2021-04-01,2022-03-31,3579,53,3
388550304,2021-05-18T11:49:36.591Z,723,218,2021-05-15,2021-05-31,1817,48,4
389349111,2021-05-20T19:54:55.531Z,218,723,2021-04-01,2022-03-31,3579,38,5
389280864,2021-05-20T12:44:14.438Z,898,681,2021-05-15,2021-05-31,4023,43,2
389349271,2021-05-20T19:54:55.524Z,218,688,2021-04-01,2022-03-31,3579,53,1
389232729,2021-05-20T08:46:02.895Z,912,218,2021-05-15,2021-05-31,2455,1023,4
388775673,2021-05-18T17:39:12.691Z,764,308,2021-05-15,2021-05-31,3564,53,2
388493923,2021-05-18T11:42:39.285Z,806,678,2021-05-15,2021-05-31,2469,48,2
388462254,2021-05-18T10:30:04.002Z,796,587,2021-05-15,2021-05-31,2469,1023,4
389236664,2021-05-20T08:46:02.893Z,736,681,2021-05-15,2021-05-31,2455,1023,1
388491656,2021-05-18T11:41:32.499Z,191,678,2021-04-15,2021-04-30,2469,48,4
386649394,2021-05-18T17:53:38.852Z,218,764,2021-04-16,2021-04-17,3564,190,2
388463036,2021-05-18T10:30:04.002Z,781,638,2021-05-15,2021-05-31,2469,1023,4
388551770,2021-05-18T11:51:58.357Z,806,638,2021-05-15,2021-05-31,2469,48,4
389350223,2021-05-20T19:54:55.532Z,54,529,2021-04-01,2022-03-31,3579,38,3
389241059,2021-05-20T08:46:02.896Z,585,638,2021-05-15,2021-05-31,2455,1023,2
388483778,2021-05-18T11:40:51.510Z,806,308,2021-05-01,2021-05-14,2469,48,2
389247164,2021-05-20T08:46:02.894Z,191,587,2021-05-15,2021-05-31,2455,1023,4
389233022,2021-05-20T08:46:02.892Z,898,638,2021-05-15,2021-05-31,2455,1023,1
388478052,2021-05-18T11:40:04.475Z,764,308,2021-04-01,2021-04-14,2469,48,4
389347969,2021-05-20T19:54:55.532Z,688,585,2021-04-01,2022-03-31,3579,43,5
388783917,2021-05-18T17:39:12.834Z,585,308,2021-05-15,2021-05-31,3564,53,2
388645635,2021-05-18T13:14:56.403Z,266,587,2021-04-01,2021-06-30,4215,38,1
389469850,2021-05-21T13:11:25.876Z,688,504,2021-05-07,2021-05-31,4023,38,4
384585829,2021-05-21T13:07:52.422Z,898,587,2021-05-01,2021-05-31,4023,38,2
388494118,2021-05-18T11:42:39.285Z,781,308,2021-05-15,2021-05-31,2469,48,2
388552937,2021-05-18T11:51:58.356Z,585,681,2021-05-15,2021-05-31,2469,48,4
389349093,2021-05-20T19:54:55.525Z,218,723,2021-04-01,2022-03-31,3579,1023,1
388493982,2021-05-18T11:42:39.285Z,796,308,2021-05-15,2021-05-31,2469,48,4
388354412,2021-05-18T08:47:45.681Z,912,638,2021-05-15,2021-05-31,2469,52,4
384586181,2021-05-21T13:07:52.422Z,806,638,2021-05-01,2021-05-31,4023,38,2
389235186,2021-05-20T08:46:02.892Z,806,638,2021-05-15,2021-05-31,2455,1023,1
388646083,2021-05-18T13:14:56.403Z,736,218,2021-04-01,2021-06-30,4215,38,4
388493294,2021-05-18T11:42:39.284Z,912,678,2021-05-15,2021-05-31,2469,48,1
389236673,2021-05-20T08:46:02.893Z,736,638,2021-05-15,2021-05-31,2455,1023,1
389468714,2021-05-21T13:11:25.875Z,898,504,2021-05-07,2021-05-31,4023,38,1
388724446,2021-05-18T15:28:33.574Z,898,638,2021-05-01,2021-05-31,1817,114,2
389229754,2021-05-20T08:45:43.047Z,806,587,2021-05-15,2021-05-31,2455,48,1
388457524,2021-05-18T10:24:36.487Z,736,308,2021-05-15,2021-05-31,2469,1023,2
389470716,2021-05-21T13:11:25.874Z,266,681,2021-05-07,2021-05-31,4023,38,4
389470735,2021-05-21T13:11:25.874Z,266,587,2021-05-07,2021-05-31,4023,38,2
385867530,2021-05-18T17:53:38.839Z,218,796,2021-04-15,2021-04-16,3564,190,1
384593425,2021-05-21T13:07:52.422Z,266,54,2021-05-01,2021-05-31,4023,38,1
389348503,2021-05-20T19:54:55.527Z,638,529,2021-04-01,2022-03-31,3579,38,4
388360964,2021-05-18T08:47:45.682Z,529,587,2021-05-15,2021-05-31,2469,52,4
388549298,2021-05-18T11:49:36.591Z,266,587,2021-05-15,2021-05-31,1817,48,4
389230644,2021-05-20T08:45:43.049Z,191,638,2021-05-15,2021-05-31,2455,48,2
388484211,2021-05-18T11:40:51.504Z,723,308,2021-05-01,2021-05-14,2469,48,1
384593974,2021-05-21T13:07:52.422Z,191,638,2021-05-01,2021-05-31,4023,38,1
388464205,2021-05-18T10:30:04.004Z,736,54,2021-05-15,2021-05-31,2469,1023,4
388467252,2021-05-18T10:30:04.005Z,529,54,2021-05-15,2021-05-31,2469,1023,2
388488995,2021-05-18T11:41:32.499Z,736,308,2021-04-15,2021-04-30,2469,48,4
388463071,2021-05-18T10:30:04.000Z,781,218,2021-05-15,2021-05-31,2469,1023,1
388364032,2021-05-18T08:47:45.693Z,266,504,2021-05-15,2021-05-31,2469,52,4
389349088,2021-05-20T19:54:55.532Z,218,736,2021-04-01,2022-03-31,3579,52,3
388708059,2021-05-18T15:02:46.309Z,898,308,2021-05-01,2021-05-14,2469,114,4
388708082,2021-05-18T15:03:01.671Z,806,308,2021-04-15,2021-04-30,2469,114,2
388646093,2021-05-18T13:14:56.403Z,736,54,2021-04-01,2021-06-30,4215,38,2
388491187,2021-05-18T11:41:32.499Z,266,308,2021-04-15,2021-04-30,2469,48,4
389349353,2021-05-20T19:54:55.529Z,191,723,2021-04-01,2022-03-31,3579,68,4
389233089,2021-05-20T08:46:02.894Z,898,54,2021-05-15,2021-05-31,2455,1023,4
388464037,2021-05-18T10:30:04.002Z,723,587,2021-05-15,2021-05-31,2469,1023,2
389247143,2021-05-20T08:46:02.894Z,191,681,2021-05-15,2021-05-31,2455,1023,4
389280300,2021-05-20T12:44:14.438Z,723,218,2021-05-15,2021-05-31,4023,43,1
388645794,2021-05-18T13:14:56.403Z,781,218,2021-04-01,2021-06-30,4215,38,1
388358222,2021-05-18T08:47:45.693Z,723,504,2021-05-15,2021-05-31,2469,52,4
389348721,2021-05-20T19:54:55.533Z,587,736,2021-04-01,2022-03-31,3579,114,3
389280463,2021-05-20T12:44:14.438Z,266,681,2021-05-15,2021-05-31,4023,43,2
388457862,2021-05-18T10:24:36.486Z,529,308,2021-05-15,2021-05-31,2469,1023,1
388645411,2021-05-18T13:14:56.403Z,806,638,2021-04-01,2021-06-30,4215,38,1
389468755,2021-05-21T13:11:25.874Z,898,54,2021-05-07,2021-05-31,4023,38,2
389230651,2021-05-20T08:45:43.047Z,191,587,2021-05-15,2021-05-31,2455,48,1
388724459,2021-05-18T15:28:33.574Z,898,218,2021-05-01,2021-05-31,1817,114,4
389246906,2021-05-20T08:46:02.892Z,266,54,2021-05-15,2021-05-31,2455,1023,1
388464139,2021-05-18T10:30:04.003Z,736,681,2021-05-15,2021-05-31,2469,1023,4
389230464,2021-05-20T08:45:43.047Z,266,638,2021-05-15,2021-05-31,2455,48,1
388771154,2021-05-18T17:39:12.833Z,898,308,2021-05-15,2021-05-31,3564,53,4
389237059,2021-05-20T08:46:02.892Z,723,218,2021-05-15,2021-05-31,2455,1023,1
389349319,2021-05-20T19:54:55.526Z,218,529,2021-04-01,2022-03-31,3579,190,4
388355320,2021-05-18T08:47:45.681Z,806,587,2021-05-15,2021-05-31,2469,52,4
389246858,2021-05-20T08:46:02.896Z,266,504,2021-05-15,2021-05-31,2455,1023,1
388646217,2021-05-18T13:15:26.235Z,898,218,2021-05-01,2022-04-30,4215,38,4
388461958,2021-05-18T10:30:04.000Z,806,218,2021-05-15,2021-05-31,2469,1023,1
385902541,2021-05-18T17:53:38.844Z,54,736,2021-04-15,2021-06-30,3564,190,4
389270801,2021-05-20T12:42:31.955Z,218,266,2021-04-15,2021-05-15,4023,43,2
388357143,2021-05-18T08:47:45.681Z,736,54,2021-05-15,2021-05-31,2469,52,2
388488205,2021-05-18T11:41:32.499Z,898,678,2021-04-15,2021-04-30,2469,48,4
389234867,2021-05-20T08:46:02.892Z,796,638,2021-05-15,2021-05-31,2455,1023,1
389247145,2021-05-20T08:46:02.892Z,191,681,2021-05-15,2021-05-31,2455,1023,1
389241467,2021-05-20T08:46:02.906Z,585,504,2021-05-15,2021-05-31,2455,1023,2
388551895,2021-05-18T11:51:58.356Z,796,638,2021-05-15,2021-05-31,2469,48,1
388494732,2021-05-18T11:42:39.285Z,723,678,2021-05-15,2021-05-31,2469,48,2
389229265,2021-05-20T08:45:43.049Z,898,638,2021-05-15,2021-05-31,2455,48,4
389237009,2021-05-20T08:46:02.894Z,723,681,2021-05-15,2021-05-31,2455,1023,4
389348469,2021-05-20T19:54:55.534Z,638,585,2021-04-01,2022-03-31,3579,114,3
388724445,2021-05-18T15:28:33.574Z,898,638,2021-05-01,2021-05-31,1817,114,4
388494117,2021-05-18T11:42:39.285Z,781,308,2021-05-15,2021-05-31,2469,48,4
389477232,2021-05-21T13:17:51.649Z,688,54,2021-05-13,2021-05-31,4023,38,2
389471067,2021-05-21T13:11:25.874Z,191,218,2021-05-07,2021-05-31,4023,38,4
389478338,2021-05-21T13:17:51.649Z,266,681,2021-05-13,2021-05-31,4023,38,2
388356692,2021-05-18T08:47:45.681Z,781,218,2021-05-15,2021-05-31,2469,52,2
389347997,2021-05-20T19:54:55.527Z,688,529,2021-04-01,2022-03-31,3579,249,4
389469514,2021-05-21T13:11:25.874Z,736,638,2021-05-07,2021-05-31,4023,38,2
388493354,2021-05-18T11:42:39.284Z,898,308,2021-05-15,2021-05-31,2469,48,1
389270779,2021-05-20T12:42:31.955Z,587,266,2021-04-15,2021-05-15,4023,43,4
389469508,2021-05-21T13:11:25.874Z,736,681,2021-05-07,2021-05-31,4023,38,2
389232721,2021-05-20T08:46:02.895Z,912,308,2021-05-15,2021-05-31,2455,1023,2
389230468,2021-05-20T08:45:43.049Z,266,587,2021-05-15,2021-05-31,2455,48,4
389280558,2021-05-20T12:44:14.439Z,796,681,2021-05-15,2021-05-31,4023,43,4
388548477,2021-05-18T11:49:36.590Z,796,638,2021-05-15,2021-05-31,1817,48,1
388724472,2021-05-18T15:28:33.574Z,898,54,2021-05-01,2021-05-31,1817,114,2
384589809,2021-05-21T13:07:52.422Z,723,681,2021-05-01,2021-05-31,4023,38,1
388494738,2021-05-18T11:42:39.285Z,723,308,2021-05-15,2021-05-31,2469,48,2
388478135,2021-05-18T11:40:04.471Z,898,308,2021-04-01,2021-04-14,2469,48,1
388358261,2021-05-18T08:47:45.681Z,723,54,2021-05-15,2021-05-31,2469,52,4
389468702,2021-05-21T13:11:25.874Z,898,587,2021-05-07,2021-05-31,4023,38,1
389348465,2021-05-20T19:54:55.533Z,638,585,2021-04-01,2022-03-31,3579,1023,3
389235176,2021-05-20T08:46:02.894Z,806,681,2021-05-15,2021-05-31,2455,1023,2
389270567,2021-05-20T12:42:31.955Z,638,796,2021-04-15,2021-05-15,4023,43,4
389280783,2021-05-20T12:44:14.439Z,191,54,2021-05-15,2021-05-31,4023,43,4
388724802,2021-05-18T15:28:33.574Z,191,587,2021-05-01,2021-05-31,1817,114,4
388708086,2021-05-18T15:03:17.044Z,898,308,2021-05-15,2021-05-31,2469,114,1
388486992,2021-05-18T11:40:51.504Z,191,308,2021-05-01,2021-05-14,2469,48,1
389236474,2021-05-20T08:46:02.894Z,764,218,2021-05-15,2021-05-31,2455,1023,2
388460709,2021-05-18T10:30:04.000Z,898,218,2021-05-15,2021-05-31,2469,1023,1
388483472,2021-05-18T11:40:51.511Z,764,308,2021-05-01,2021-05-14,2469,48,2
389233061,2021-05-20T08:46:02.892Z,898,218,2021-05-15,2021-05-31,2455,1023,1
389348470,2021-05-20T19:54:55.529Z,638,585,2021-04-01,2022-03-31,3579,89,4
