DAY,CURRENCY,RATE
2021-01-01,NOK,8.63301
2021-01-01,NPR,117.485776
2021-01-01,NZD,1.412085
2021-01-01,OMR,0.384976
2021-01-01,PAB,1
2021-01-01,PEN,3.637889
2021-01-01,PGK,3.539268
2021-01-01,PHP,48.338897
2021-01-01,PKR,160.992872
2021-01-01,PLN,3.75377
2021-01-01,PYG,6951.07244
2021-01-01,QAR,3.64125
2021-01-01,RON,3.9831
2021-01-01,RSD,96.25
2021-01-01,RUB,73.945
2021-01-01,RWF,990.813199
2021-01-01,SAR,3.751084
2021-01-01,SBD,8.002049
2021-01-01,SCR,21.204537
2021-01-01,SDG,55.225
2021-01-01,SEK,8.26929
2021-01-01,SGD,1.321615
2021-01-01,MOP,7.983466
2021-01-01,LSL,14.681041
2021-01-01,LTL,3.215858
2021-01-01,LVL,0.654582
2021-01-01,LYD,1.344386
2021-01-01,MAD,8.927095
2021-01-01,MDL,17.269066
2021-01-01,MGA,3931.398747
2021-01-01,MKD,50.444146
2021-01-01,MMK,1334.572418
2021-01-01,MNT,2852.593261
2021-01-01,NGN,396.700509
2021-01-01,MRO,357
2021-01-01,MRU,36.18
2021-01-01,MTL,0.683738
2021-01-01,MUR,39.699575
2021-01-01,MVR,15.4
2021-01-01,MWK,774.654957
2021-01-01,MXN,19.8822
2021-01-01,MYR,4.0505
2021-01-01,MZN,74.81
2021-01-01,NAD,14.69
2021-01-01,XDR,0.696046
2021-01-01,UZS,10474.795277
2021-01-01,VEF,248487.642241
2021-01-01,VES,1105425.302503
2021-01-01,VND,23344.601074
2021-01-01,VUV,109.239906
2021-01-01,WST,2.518034
2021-01-01,XAF,539.643607
2021-01-01,XAG,0.03790043
2021-01-01,XAU,0.0005268
2021-01-01,XCD,2.70255
2021-01-01,UYU,42.360892
2021-01-01,XOF,539.643607
2021-01-01,XPD,0.00040677
2021-01-01,XPF,98.172002
2021-01-01,XPT,0.00093188
2021-01-01,YER,250.408348
2021-01-01,ZAR,14.662595
2021-01-01,ZMK,5253.075255
2021-01-01,ZMW,21.165801
2021-01-01,ZWL,322
2021-01-01,NIO,34.873728
2021-01-01,TJS,11.325199
2021-01-01,SLL,10099.47633
2021-01-01,SOS,581.358349
2021-01-01,SRD,14.154
2021-01-01,SSP,130.26
2021-01-01,STD,20389.997455
2021-01-01,STN,20.325
2021-01-01,SVC,8.748595
2021-01-01,SYP,513.419611
2021-01-01,SZL,14.677733
2021-01-01,THB,30.195303
2021-01-01,SHP,0.73135
2021-01-01,TMT,3.5
2021-01-01,TND,2.6945
2021-01-01,TOP,2.274086
2021-01-01,TRY,7.4392
2021-01-01,TTD,6.795284
2021-01-01,TWD,28.069001
2021-01-01,TZS,2318.537
2021-01-01,UAH,28.475256
2021-01-01,UGX,3655.26232
2021-01-01,USD,1
2021-01-01,CNY,6.533
2021-01-01,BTN,73.428791
2021-01-01,BWP,10.802857
2021-01-01,BYN,2.612258
2021-01-01,BYR,20026.25
2021-01-01,BZD,2.015329
2021-01-01,CAD,1.272993
2021-01-01,CDF,1971.040379
2021-01-01,CHF,0.890075
2021-01-01,CLF,0.025749
2021-01-01,CLP,710.49939
2021-01-01,CNH,6.50503
2021-01-01,BTC,3.4067781e-05
2021-01-01,COP,3461.475266
2021-01-01,CRC,610.275904
2021-01-01,CUC,0.999805
2021-01-01,CUP,25.75
2021-01-01,CVE,90.55
2021-01-01,CZK,21.470201
2021-01-01,DJF,178.902125
2021-01-01,DKK,6.0929
2021-01-01,DOP,58.177256
2021-01-01,DZD,132.070391
2021-01-01,BAM,1.601236
2021-01-01,LRD,164.233303
2021-01-01,AFN,77.571739
2021-01-01,ALL,101.322195
2021-01-01,AMD,522.91
2021-01-01,ANG,1.79468
2021-01-01,AOA,654.16
2021-01-01,ARS,85.115434
2021-01-01,AUD,1.29985
2021-01-01,AWG,1.8
2021-01-01,AZN,1.7025
2021-01-01,LKR,186.166825
2021-01-01,BBD,2
2021-01-01,BDT,84.632456
2021-01-01,BGN,1.601212
2021-01-01,BHD,0.377011
2021-01-01,BIF,1941.945389
2021-01-01,BMD,1
2021-01-01,BND,1.328012
2021-01-01,BOB,6.919072
2021-01-01,BRL,5.1934
2021-01-01,BSD,1
2021-01-01,KGS,83.169856
2021-01-01,ILS,3.21302
2021-01-01,IMP,0.73135
2021-01-01,INR,73.09225
2021-01-01,IQD,1468.227817
2021-01-01,IRR,42105
2021-01-01,ISK,127.81
2021-01-01,JEP,0.73135
2021-01-01,JMD,142.971637
2021-01-01,JOD,0.709
2021-01-01,JPY,103.23998054
2021-01-01,KES,109.74
2021-01-01,EGP,15.842604
2021-01-01,KHR,4057.957295
2021-01-01,KMF,403.000217
2021-01-01,KPW,900
2021-01-01,KRW,1085.73
2021-01-01,KWD,0.304144
2021-01-01,KYD,0.833157
2021-01-01,KZT,421.359547
2021-01-01,LAK,9341.069588
2021-01-01,LBP,1519.51088
2021-01-01,EEK,14.573008
2021-01-01,IDR,14213.6925
2021-01-01,AED,3.6732
2021-01-01,ERN,15.001453
2021-01-01,ETB,39.551923
2021-01-01,EUR,0.822681
2021-01-01,FJD,2.0392
2021-01-01,FKP,0.73135
2021-01-01,GBP,0.73135
