EQUIPMENT_ID,ORIGIN_PID,DESTINATION_PID,VALID_FROM,VALID_TO,COMPANY_ID,SUPPLIER_ID,avg_price,median_price
4,781,54,2021-03-15,2021-03-31,3709,38,1020.25,430.0
1,764,587,2021-04-01,2021-04-14,3709,1023,696.2,157.0
4,806,218,2021-03-15,2021-03-31,3709,38,1013.0,407.5
4,898,638,2021-03-15,2021-03-31,3709,38,1038.0,457.0
2,191,218,2021-04-01,2021-04-14,4023,53,1026.5,322.5
4,723,54,2021-04-01,2021-04-14,4023,53,1135.5,464.5
1,266,587,2021-04-01,2021-04-14,3709,1023,693.8,141.0
4,723,781,2021-05-01,2022-04-30,2971,43,182.83976902173683,119.8850346148181
1,585,54,2021-03-15,2021-03-31,3709,38,832.25,374.0
4,912,504,2021-04-01,2021-04-14,3709,1023,987.8,221.0
2,898,218,2021-04-01,2021-04-14,3709,1023,868.4,203.0
1,266,678,2021-04-01,2021-04-14,3709,1023,684.6,130.0
1,191,218,2021-04-01,2021-04-14,3709,1023,682.2,124.0
4,781,638,2021-03-15,2021-03-31,3709,38,1013.0,398.5
4,764,638,2021-04-01,2021-04-14,3709,1023,860.4,191.0
4,191,638,2021-04-01,2021-04-14,4023,53,1076.5,329.5
4,806,54,2021-03-15,2021-03-31,3709,38,1022.25,412.0
1,736,638,2021-04-01,2021-04-14,3709,1023,753.4,229.0
2,912,681,2021-04-01,2021-04-14,3709,1023,881.2,180.0
1,806,638,2021-03-15,2021-03-31,3709,38,797.75,298.5
4,898,587,2021-03-15,2021-03-31,3709,38,1024.75,438.0
1,736,638,2021-03-15,2021-03-31,3709,38,797.25,327.5
2,912,54,2021-04-01,2021-04-14,3709,1023,884.2,224.0
1,266,681,2021-03-15,2021-03-31,3709,38,816.75,332.0
2,764,218,2021-04-01,2021-04-14,4023,53,1044.0,370.5
2,585,587,2021-04-01,2021-04-14,4023,53,1063.75,385.5
2,796,504,2021-04-01,2021-04-14,3709,1023,983.4,209.0
4,585,218,2021-04-01,2021-04-14,3709,1023,923.2,232.0
1,912,218,2021-04-01,2021-04-14,3709,1023,709.6,165.0
2,266,54,2021-04-01,2021-04-14,4023,53,1035.0,339.0
2,585,504,2021-03-15,2021-03-31,3709,38,1219.5,449.0
4,736,681,2021-04-01,2021-04-14,3709,1023,947.6,279.0
4,723,587,2021-04-01,2021-04-14,3709,1023,889.4,362.0
4,191,504,2021-04-01,2021-04-14,4023,53,1180.5,323.5
1,266,638,2021-03-15,2021-03-31,3709,38,808.0,312.5
1,764,504,2021-03-15,2021-03-31,3709,38,1032.5,347.5
1,796,678,2021-04-01,2021-04-14,3709,1023,694.0,123.0
4,764,638,2021-03-15,2021-03-31,3709,38,1014.75,401.5
1,898,681,2021-04-01,2021-04-14,3709,1023,687.8,130.0
1,723,308,2021-04-01,2021-04-14,3709,1023,717.4,274.0
2,806,218,2021-03-15,2021-03-31,3709,38,1013.5,399.5
2,191,54,2021-04-01,2021-04-14,3709,1023,861.4,173.0
4,912,308,2021-04-01,2021-04-14,3709,1023,899.8,206.0
4,736,54,2021-04-01,2021-04-14,4023,53,1094.25,385.0
1,796,218,2021-03-15,2021-03-31,3709,38,800.25,306.5
4,764,681,2021-03-15,2021-03-31,3709,38,1082.25,394.5
2,912,218,2021-04-01,2021-04-14,4023,53,1043.0,345.5
1,688,54,2021-04-01,2021-04-14,4023,53,839.25,319.0
4,585,54,2021-04-01,2021-04-14,4023,53,1085.25,380.5
1,585,638,2021-03-15,2021-03-31,3709,38,828.0,344.5
4,806,504,2021-04-01,2021-04-14,3709,1023,971.2,205.0
1,266,218,2021-03-15,2021-03-31,3709,38,815.25,308.5
1,764,638,2021-04-01,2021-04-14,3709,1023,686.8,114.0
4,585,218,2021-03-15,2021-03-31,3709,38,1020.75,433.5
2,736,54,2021-04-01,2021-04-14,3709,1023,939.6,267.0
1,764,504,2021-04-01,2021-04-14,4023,53,924.75,299.5
2,529,587,2021-04-01,2021-04-14,4023,53,1111.75,366.5
4,736,218,2021-03-15,2021-03-31,3709,38,1005.75,441.0
1,736,218,2021-04-01,2021-04-14,4023,53,851.25,355.5
2,912,681,2021-03-15,2021-03-31,3709,38,1079.75,424.5
4,796,638,2021-04-01,2021-04-14,4023,53,1079.0,339.0
2,736,54,2021-03-15,2021-03-31,3709,38,1009.25,457.5
4,191,504,2021-04-01,2021-04-14,3709,1023,948.2,190.0
1,191,681,2021-04-01,2021-04-14,3709,1023,686.8,133.0
1,781,504,2021-04-01,2021-04-14,4023,53,917.25,272.5
2,781,638,2021-03-15,2021-03-31,3709,38,1026.25,422.0
2,723,681,2021-04-01,2021-04-14,3709,1023,889.6,370.0
4,796,678,2021-04-01,2021-04-14,3709,1023,866.4,200.0
1,796,218,2021-04-01,2021-04-14,4023,53,831.75,320.5
1,723,504,2021-04-01,2021-04-14,3709,1023,868.2,310.0
4,191,504,2021-03-15,2021-03-31,3709,38,1184.75,388.5
2,898,587,2021-04-01,2021-04-14,4023,53,1032.5,341.5
2,266,504,2021-04-01,2021-04-14,4023,53,1136.75,317.0
1,796,638,2021-04-01,2021-04-14,3709,1023,698.4,151.0
2,723,638,2021-04-01,2021-04-14,3709,1023,910.8,375.0
1,529,218,2021-04-01,2021-04-14,3709,1023,775.2,229.0
4,529,504,2021-04-01,2021-04-14,3709,1023,970.4,230.0
4,723,587,2021-04-01,2021-04-14,4023,53,1118.25,439.0
2,266,638,2021-04-01,2021-04-14,3709,1023,864.0,183.0
4,806,638,2021-04-01,2021-04-14,4023,53,1085.25,325.5
4,191,587,2021-03-15,2021-03-31,3709,38,1015.5,393.5
4,806,218,2021-04-01,2021-04-14,3709,1023,859.2,173.0
4,796,308,2021-04-01,2021-04-14,3709,1023,858.4,171.0
2,781,681,2021-03-15,2021-03-31,3709,38,1083.75,397.0
4,806,587,2021-04-01,2021-04-14,3709,1023,854.0,172.0
4,898,638,2021-04-01,2021-04-14,4023,53,1083.5,347.5
4,912,587,2021-04-01,2021-04-14,3709,1023,889.4,185.0
1,266,504,2021-04-01,2021-04-14,3709,1023,823.0,109.0
2,912,504,2021-04-01,2021-04-14,4023,53,1118.75,297.0
2,796,638,2021-04-01,2021-04-14,3709,1023,860.0,205.0
2,529,218,2021-04-01,2021-04-14,3709,1023,955.2,268.0
2,266,587,2021-04-01,2021-04-14,4023,53,1044.75,349.5
4,529,218,2021-04-01,2021-04-14,3709,1023,932.0,246.0
2,796,681,2021-04-01,2021-04-14,3709,1023,851.2,166.0
1,912,218,2021-04-01,2021-04-14,4023,53,824.5,316.0
1,898,638,2021-03-15,2021-03-31,3709,38,817.5,331.5
2,796,504,2021-04-01,2021-04-14,4023,53,1133.25,322.5
2,781,218,2021-03-15,2021-03-31,3709,38,1031.75,430.0
2,688,638,2021-03-15,2021-03-31,3709,38,1030.75,431.0
2,806,638,2021-03-15,2021-03-31,3709,38,1011.5,406.5
2,764,504,2021-04-01,2021-04-14,4023,53,1140.0,322.5
1,764,678,2021-04-01,2021-04-14,3709,1023,694.0,130.0
1,736,638,2021-04-01,2021-04-14,4023,53,850.25,340.0
1,806,638,2021-04-01,2021-04-14,3709,1023,696.2,163.0
1,796,681,2021-03-15,2021-03-31,3709,38,810.75,335.0
2,764,587,2021-03-15,2021-03-31,3709,38,1031.0,422.0
2,806,54,2021-03-15,2021-03-31,3709,38,1009.0,390.5
4,898,681,2021-03-15,2021-03-31,3709,38,1033.5,448.0
4,806,587,2021-03-15,2021-03-31,3709,38,1027.0,426.0
2,191,308,2021-04-01,2021-04-14,3709,1023,870.6,208.0
2,585,587,2021-04-01,2021-04-14,3709,1023,934.4,237.0
4,736,54,2021-04-01,2021-04-14,3709,1023,927.4,228.0
4,806,504,2021-04-01,2021-04-14,4023,53,1170.75,309.5
2,688,504,2021-04-01,2021-04-14,4023,53,1139.5,302.5
1,688,638,2021-04-01,2021-04-14,4023,53,821.0,277.0
2,191,638,2021-04-01,2021-04-14,3709,1023,857.2,205.0
1,736,218,2021-03-15,2021-03-31,3709,38,795.0,338.0
2,796,218,2021-04-01,2021-04-14,4023,53,1046.0,362.5
2,191,587,2021-03-15,2021-03-31,3709,38,1026.25,430.0
1,781,587,2021-04-01,2021-04-14,4023,53,818.75,300.0
4,796,587,2021-03-15,2021-03-31,3709,38,1029.25,421.0
1,723,54,2021-03-15,2021-03-31,3709,38,848.25,420.5
1,764,587,2021-04-01,2021-04-14,4023,53,827.5,292.5
4,796,638,2021-04-01,2021-04-14,3709,1023,866.8,179.0
4,796,681,2021-03-15,2021-03-31,3709,38,1022.75,406.0
2,912,504,2021-04-01,2021-04-14,3709,1023,992.0,194.0
1,191,587,2021-04-01,2021-04-14,3709,1023,688.0,143.0
1,806,308,2021-04-01,2021-04-14,3709,1023,698.4,162.0
1,796,638,2021-03-15,2021-03-31,3709,38,806.75,313.0
1,723,638,2021-04-01,2021-04-14,3709,1023,712.4,275.0
4,723,638,2021-04-01,2021-04-14,3709,1023,910.6,379.0
2,898,504,2021-04-01,2021-04-14,4023,53,1129.25,303.0
2,638,796,2021-04-01,2021-06-30,2313,395,970.0,970.0
4,736,218,2021-04-01,2021-04-14,4023,53,1083.25,375.5
1,736,54,2021-04-01,2021-04-14,3709,1023,760.0,219.0
2,736,681,2021-04-01,2021-04-14,3709,1023,946.6,255.0
4,781,504,2021-03-15,2021-03-31,3709,38,1206.5,424.5
2,688,54,2021-03-15,2021-03-31,3709,38,1021.0,433.0
4,266,504,2021-03-15,2021-03-31,3709,38,1201.25,392.5
4,796,54,2021-04-01,2021-04-14,3709,1023,845.2,166.0
1,529,723,2021-05-01,2022-04-30,2971,43,158.1699592069456,135.76099115104043
2,796,587,2021-04-01,2021-04-14,4023,53,1019.75,332.0
2,796,54,2021-03-15,2021-03-31,3709,38,1005.5,389.0
4,736,638,2021-03-15,2021-03-31,3709,38,1008.75,424.0
1,191,587,2021-03-15,2021-03-31,3709,38,818.25,339.5
1,266,638,2021-04-01,2021-04-14,3709,1023,684.2,121.0
2,912,638,2021-04-01,2021-04-14,3709,1023,890.6,193.0
1,191,504,2021-04-01,2021-04-14,4023,53,906.0,290.0
2,585,638,2021-04-01,2021-04-14,3709,1023,931.6,237.0
1,898,308,2021-04-01,2021-04-14,3709,1023,695.8,160.0
1,585,681,2021-03-15,2021-03-31,3709,38,845.5,375.0
1,764,638,2021-04-01,2021-04-14,4023,53,825.0,269.0
1,266,681,2021-04-01,2021-04-14,3709,1023,678.6,123.0
4,688,638,2021-03-15,2021-03-31,3709,38,1030.25,420.0
2,781,54,2021-03-15,2021-03-31,3709,38,1013.0,420.5
1,585,587,2021-04-01,2021-04-14,3709,1023,762.4,229.0
1,688,504,2021-03-15,2021-03-31,3709,38,963.25,322.5
1,736,308,2021-04-01,2021-04-14,3709,1023,748.2,222.0
4,912,504,2021-03-15,2021-03-31,3709,38,1269.0,423.0
2,191,504,2021-03-15,2021-03-31,3709,38,1200.25,404.5
4,796,308,2021-04-15,2021-04-30,3564,190,826.2,192.0
4,781,504,2021-04-01,2021-04-14,3564,53,1221.5,326.0
4,54,781,2021-02-18,2021-02-19,3564,89,851.0,851.0
